ITEMNAME,DEPNAME,MAINUPC,SIZENAME,PACKNAME,CURRENTCOST,PRICEPERUNIT,TOTALQTY
POLAND SPRING,Soda,75720431151,24 OZ,,0.33,1.5,0
SNAPPLE MANGO MADNESS,Soda,76183003121,16 OZ,,1.06,1.64,0
SNAPPLE FRUIT PUNCH,Soda,7618300313,20 OZ,,0.92,1.64,5
SNAPPLE PINK LEMONADE,Soda,76183003299,16 OZ,,1,1.64,0
SNAPPLE LEMON TEA,Soda,76183202005,20 OZ,,0.84,1.88,7
SNAPPLE PEACH TEA,Soda,76183202012,20 OZ,,0.84,1.88,0
SNAPPLE RASPBERRY TEA,Soda,76183202029,20 OZ,,0.84,1.88,8
SNAPPLE KIWI STRAWBERRY,Soda,76183202036,20 OZ,,0.92,1.64,2
SNAPPLE MANGO MADNESS,Soda,76183202043,16 OZ,,1,1.64,0
SNAPPLE APPLE,Soda,76183202081,20 OZ,,0.92,1.64,0
APPLE & EVE,Soda,76301590052,10 OZ,,0.65,0.94,0
7 UP LIMON,Soda,78000000344,2 LT,,1.86,3.52,0
SUNKIST STRAWBERRY LEMONADE,Soda,78000031805,2 LT,,2,3.75,6
SUNKIST BERRY LEMONADE,Soda,78000035544,2 LT,,2,3.75,8
DR.PAPER,Soda,78000082463,2 LT,,1.67,3.52,0
CANADA DRY SELTZER,Soda,78000147407,20 OZ,,1.06,1.75,21
CANADA DRY GINGER ALE BTL,Soda,78000152401,20 OZ,,1.06,1.64,23
CANADA DRY GINGER ALE,Soda,78000152463,2 LT,,2.12,3.52,5
CANADA DRY LEMON BTL,Soda,78000165401,20 OZ,,1.04,1.64,0
A&W ROOT BEER,Soda,7818707,12 OZ,,0.54,0.94,0
BLUNT EFFECTS,Soda,87860720002,,,0.5,1,41
DG GINGER BEER BTL,Soda,89087120139,12 OZ,,1.33,1.88,1
MISTIC MANGO CARROT,Soda,89396000481,16 OZ,,1.06,1.64,17
MISTIC ORANGE MANGO,Soda,89396000504,16 OZ,,1.09,1.64,0
MISTIC ORANGE CARROT,Soda,89396000528,16 OZ,,1.05,1.64,9
MISTIC PEACH CARROT,Soda,89396000542,16 OZ,,1.06,1.64,12
MISTIC TROPICAL CARROT,Soda,89396000580,16 OZ,,1.06,1.64,10
MISTIC BAHAMA BLUEBERRY,Soda,89396000603,16 OZ,,1.05,1.64,14
MISTIC GRAPE STRAWBERRY,Soda,89396000641,16 OZ,,1.06,1.64,18
MISTIC KIWI STRAWBERRY,Soda,89396000665,16 OZ,,1.05,1.64,7
ORGANIC LEMONADE,Soda,96619833757,96 OZ,,3.2,6.99,0
MOUNTAIN DEW CAN,Soda,120850,12 OZ,,0.58,1,8
PEPSI BTL,Soda,122300,2 LT,,2.25,3.52,6
C&C  2 LITER,Soda,12348,2 LT,,0.79,1.5,0
CRUSH GRAPE,Soda,417114,,,0.55,0.75,0
COKE BTL,Soda,490440,20 OZ,,1.21,1.64,24
SPRITE CAN,Soda,491320,12 OZ,,0.54,0.94,32
SPRITE BTL,Soda,497640,20 OZ,,1.21,1.64,15
MONSTER ENERGY DRINK CAN,Soda,5060166698874,16 OZ,,1.5,2.35,-27
MAGNUM,Soda,5139400000,CONDOMS,,0.4,0.94,21
MEDICINE,Soda,5242800000,,,0.33,0.94,26
SUNNY D ORANGE,Soda,5768100000,7 OZ,,0.5,1,29
RED BULL,Soda,611269133448,20 OZ,,3.92,5.16,12
RED BULL,Soda,611269546019,16 OZ,,3.29,4.46,22
ARIZONA LEMON TEA,Soda,613008725693,20 OZ,,0.66,1,13
ARIZONA GREEN TEA,Soda,613008725716,20 OZ,,0.66,1,65
ARIZONA HALF & HALF,Soda,613008725815,20 OZ,,0.77,1.25,1
ARIZONA WATERMELON,Soda,613008751272,20 OZ,,0.77,1.25,18
ARIZONA FRUIT PUNCH,Soda,613008751302,20 OZ,,0.66,1,18
ARIZONA MUCHO MANGO,Soda,613008751333,20 OZ,,0.66,1,52
ARIZONA KIWI STRAW,Soda,613008758868,,,0.82,1.25,0
GOSLINGS GINGER BEER,Soda,721094200557,7 OZ,,0.8,1.17,2
POLAND SPRING GALLON,Soda,757244,3 LT,,1.48,3.5,190
CANADA DRY GINGER ALE CAN,Soda,781140,12 OZ,,0.52,0.94,24
CANADA SELTZER WATER CAN,Soda,781270,12 OZ,,0.51,0.94,23
SUNKIST ORANGE CAN,Soda,782740,12 OZ,,0.51,0.94,9
DR.PAPER CAN,Soda,783150,12 OZ,,0.6,0.94,0
SCHWEPPES GINGER ALECAN,Soda,783460,,,0.35,0.94,0
C4 BLUERASPBERRY CAN,Soda,842595134957,16 OZ,,1.67,2.34,10
C4 GREEN APPLE CAN,Soda,842595134971,16 OZ,,1.67,2.34,10
POLAND SPRING,Soda,888670034033,16 OZ,,0.2,1,184
CELSIUS WILDBERRY,Soda,889392010145,12 OZ CN,,1.39,2,0
ALOEVINE ALOE VERA JUICE,Soda,896650001647,16 OZ,,0.98,1.88,11
RED BULL,Soda,90162602,8.4 OZ,,1.62,2.58,3
CALIROSA BLACO,Tequila,51497237301,750 ML,,40.19,42.99,0
ALTOS PLATA,Tequila,80432106846,750 ML,,27.09,30.99,11
ALTOS REPOSADO,Tequila,80432106853,750 ML,,27.09,30.99,4
ALTOS PLATA,Tequila,80432108260,375 ML,,12.99,16.99,8
ALTOS REPOSADO,Tequila,80432108307,375 ML,,14.98,18.99,0
CAZADORES REPOSADO 750 ML,Tequila,80480170028,750 ML,,24.09,26.99,0
CAZADORES REPOSADO,Tequila,80480170035,375 ML,,7.69,10.99,16
CAZADORES BLANCO,Tequila,80480172039,375 ML,,6.99,9.99,0
SKINNY GIRL SPARKING MARGARITA,Tequila,80686110415,750 ML,Single,14.09,14.99,0
CLASE AZUL REPOSADO,Tequila,81240049516,750 ML,,128.29,139.99,1
DELEON ANEJO,Tequila,82000791966,750 ML,,41.09,41.99,14
DELEON BLANCO,Tequila,82000791973,750 ML,,34.09,36.99,23
DELEON REPOSADO,Tequila,82000791980,750 ML,,37.09,38.99,11
DON JULIO 1942,Tequila,8273109,50 ML,,11.35,14.99,2
MILAGRO SILVER,Tequila,83664868902,1.75 LT,,44.09,52.99,2
MILAGRO SILVER,Tequila,83664868919,750 ML,,30.09,38.99,11
MILAGRO REPOSADO,Tequila,83664868933,1.75 LT,,45.09,52.99,12
MILAGRO REPOSADO,Tequila,83664868940,750 ML,,30.09,38.99,3
MILAGRO ANEJO,Tequila,83664868971,750 ML,,39.09,47.99,0
MILAGRO SILVER,Tequila,83664874064,375 ML,,12.09,15.99,26
MILAGRO REPOSADO,Tequila,83664874071,375 ML,,12.09,15.99,23
CAMARENA SILVER,Tequila,85000008812,50 ML,,1.33,1.87,0
CAMARENA SILVER,Tequila,85000016824,750 ML,,24.01,30.99,0
CAMARENA TEQUILLA SILVER,Tequila,85000017272,375 ML,,6.67,6.99,0
MI CAMPO BLANCO,Tequila,86003272132,750 ML,,17.09,27.99,11
TIJUANA SWEET HEAT TEQUILA,Tequila,88004020972,50 ML,,0.3,0.68,0
21 SEEDS CUCUMBER JALAPENO,Tequila,88076188808,750 ML,,29.5,32.99,1
DON JULIO 1942,Tequila,88076189355,375 ML,,68.59,79.99,3
DON JULIO REPOSADO,Tequila,88076189669,750 ML,,48.49,59.99,8
ILEGAL MEZCAL REPOSADO,Tequila,89744757333,750 ML,,41.09,47.99,2
ILEGAL MEZCAL ANEJO,Tequila,89744757340,750 ML,,52.09,59.99,2
ILEGAL MEZCAL BLANCO,Tequila,89744757357,750 ML,,33.09,39.99,2
ATLANTICO PLATINO,Tequila,94922329691,750 ML,Single,17.09,24.99,0
LUNAZUL BLANCO,Tequila,96749001361,375 ML,,10.9,14.99,13
LUNAZUL REPOSADO,Tequila,96749001378,375 ML,,10.9,14.99,5
EVAN WILLIAMS,Tequila,96749021642,375 ML,,7.29,9.99,0
LUNAZUL REPOSADO,Tequila,96749908011,1 LT,,21.09,27.99,13
LUNAZUL BLANCO,Tequila,96749908028,1 LT,,21.09,27.99,12
LUNAZUL BLANCO,Tequila,96749908547,1.75 LT,,37.89,44.99,6
LUNAZUL REPOSADO,Tequila,96749908554,1.75 LT,,37.89,44.99,10
818 REPOSADO,Tequila,195893031092,750 ML,,30,36.99,4
818 BLANCO,Tequila,195893687015,750 ML,,22.5,28.99,7
100 ANOS REPOSANDO-VIK,Tequila,5300200000,750 ML,,25.09,30.99,0
MILARGO MANDRINA-VIK,Tequila,5300500000,750 ML,,29.09,29.99,0
1921 TEQUILA CREAM,Tequila,608604100203,50 ML,,1.49,2.11,51
ESPOLON BLANCO,Tequila,664804000378,375 ML,,16.09,20.99,3
ESPOLON REPOSADO,Tequila,664804000385,375 ML,,18.09,23.99,6
DON JULIO BLANCO,Tequila,674545000001,750 ML,,45.09,54.99,18
DON JULIO BLANCO,Tequila,674545000025,50 ML,,2.99,4.22,42
DON JULIO ANEJO,Tequila,674545000063,750 ML,,52.49,62.99,3
DON JULIO ANEJO,Tequila,674545000070,50 ML,,3.59,4.99,0
DON JULIO 1942,Tequila,674545000322,750 ML,,136.75,169.99,6
DON JULIO REPOSADO,Tequila,674545000421,50 ML,,3.29,5.16,125
DON JULIO BLANCO,Tequila,674545000599,375 ML,,23.09,29.99,6
DON JULIO REPOSADO,Tequila,674545000605,375 ML,,24.09,32.99,35
DON JULIO ANEJO,Tequila,674545000612,375 ML,,26.49,34.99,4
DON JULIO BLANCO,Tequila,674545000629,1.75 LT,,92.09,99.99,5
DON JULIO REPOSADO,Tequila,674545000636,1.75 LT,,99.09,109.99,3
DON JULIO ANEJO,Tequila,674545000643,1.75 LT,,106.09,119.99,2
DON JULIO 70,Tequila,674545000827,750 ML,,56.09,74.99,4
ESPOLON ANEJO,Tequila,721059001298,750 ML,,40.08,46.99,2
ESPOLON BLANCO,Tequila,721059707503,750 ML,,29.09,34.99,36
ESPOLON REPOSADO,Tequila,721059707510,750 ML,,31.09,36.99,52
PATRON SILVER,Tequila,721733000029,750 ML,,42.09,49.99,0
PATRON CAFE,Tequila,721733000036,750 ML,,32.09,39.99,17
PATRON REPOSADO,Tequila,721733000159,750 ML,,48.18,57.99,0
PATRON REPOSADO,Tequila,721733000227,50 ML,,4.75,6.57,44
PATRON SILVER,Tequila,721733000234,50 ML,,4.5,5.99,18
PATRON SILVER,Tequila,721733000883,1.75 LT,,87.09,94.99,2
PATRON SILVER,Tequila,721733000944,375 ML,,18.49,24.99,0
PATRON ANEJO,Tequila,721733001088,200 ML,,14.99,18.99,10
PATRON REPOSADO,Tequila,721733001095,200 ML,,13.99,17.99,7
PATRON SILVER,Tequila,721733001101,200 ML,,12.99,16.99,5
PATRON SILVER,Tequila,721733005413,100 ML,,7.49,9.38,8
PATRON CRISTALINO,Tequila,721733006137,750 ML,,62.19,69.99,4
PATRON SILVER,Tequila,721733506200,750 ML,,42.09,49.99,6
AVION SILVER,Tequila,736040521884,375 ML,,17,21.99,1
AVION SILVER,Tequila,736040521914,50 ML,,1.39,1.87,0
JIMADOR SILVER,Tequila,744607000345,50 ML,,1.49,2.35,0
HERRADURA SILVER,Tequila,744607010405,50 ML,,2.49,3.75,0
HERRADURA REPOSADO,Tequila,744607012409,50 ML,,2.59,3.75,0
JIMADOR REPOSADO,Tequila,744607069403,50 ML,,1.49,2.35,4
HERRADURA SILVER,Tequila,744607111317,750 ML,,36.09,44.99,0
HERRADURA REPOSADO,Tequila,744607111324,750 ML,,37.09,44.99,0
HERRADURA ANEJO,Tequila,744607111331,750 ML,,43.09,43.99,1
TEXANO COWBOY BOOT,Tequila,7503004682492,750 ML,,54.33,69.99,2
LA GRITONA REPOSADO,Tequila,791689021003,50 ML,,5,6.99,15
SAUZA 901,Tequila,8068684201,750 ML,Single,19.09,19.99,0
LALO BLANCO,Tequila,811041030013,750 ML,,43.09,49.99,2
LALO BLANCO,Tequila,811041030044,375 ML,,22.39,27.99,2
1800 SILVER,Tequila,811538010115,50 ML,,2.23,3.05,131
1800 SILVER,Tequila,811538010122,375 ML,,9.99,14.99,39
1800 SILVER,Tequila,811538010153,1.75 LT,,43.88,49.99,2
1800 REPOSADO,Tequila,811538010214,50 ML,,2.37,3.29,-1
1800 REPOSADO,Tequila,81153801022,375 ML,,10.34,14.99,18
1800 REPOSADO,Tequila,811538010238,750 ML,,29.22,36.99,0
1800 REPOSADO,Tequila,811538010245,1 LT,,29.99,37.99,1
1800 COCONUT,Tequila,811538010290,50 ML,,2.23,3.05,183
1800 COCONUT,Tequila,811538010368,375 ML,,9.99,14.99,25
1800 COCONUT,Tequila,811538010375,750 ML,,27.5,33.99,7
1800 COCONUT,Tequila,811538010405,1.75 LT,,43.88,49.99,5
JOSE CUERVO GOLD,Tequila,811538010764,1.75 LT,,36.29,40.99,3
JOSE CUERVO SILVER,Tequila,811538010856,750 ML,,20.19,26.99,1
JOSE CUERVO GOLD,Tequila,811538010894,375 ML,,10.19,13.99,18
JOSE CUERVO SILVER,Tequila,81153801091,375 ML,,10.19,13.99,20
JOSE CUERVO GOLD,Tequila,811538010924,200 ML,,6.66,8.99,31
JOSE CUERVO SILVER,Tequila,811538010931,200 ML,,6.66,8.99,22
JOSE CUERVO GOLD,Tequila,811538010948,50 ML,,1.91,2.57,31
JOSE CUERVO SILVER,Tequila,811538010955,50 ML,,1.91,2.57,67
JOSE CUERVO MARGARITA MIX LIME,Tequila,811538011211,1 LT,,4.09,4.99,-9
JOSE CUERVO CLASSIC,Tequila,81153801155,200 ML,4-Pack,8.5,11.02,2
JOSE CUERVO GOLD,Tequila,811538011600,750 ML,,20.19,26.99,7
JOSE CUERVO STRAWBERRY LIME,Tequila,811538012768,200 ML,4-Pack,8.5,11.02,-1
JOSE CUERVO MANGO,Tequila,811538016506,200 ML,4-Pack,8.5,11.02,1
JOSE CUERVO WHITE PEACH,Tequila,811538016919,200 ML,4-Pack,8.5,11.02,0
JOSE CUERVO WATERMELON,Tequila,811538016957,200 ML,4-Pack,8.5,11.02,0
JOSE CUERVO GRAPEFRUIT,Tequila,811538016971,200 ML,4-Pack,8.5,11.02,0
JOSE CUERVO PINK LEMONADE,Tequila,811538019644,200 ML,4-Pack,8.5,11.02,5
AZUL REPOSADO,Tequila,81153804519,750 ML,Single,9.09,15.99,0
1800 SILVER,Tequila,818844021644,750 ML,,28.3,33.99,10
GRAN CORAMINO CRISTAL,Tequila,818844025284,375 ML,,17.99,23.99,12
1800 CUCUMBER JALAPENO,Tequila,818844026137,375 ML,,9.99,14.99,11
GRAN CORAMINO,Tequila,818844028155,750 ML,,29.99,35.99,3
GRAN CORAMINO,Tequila,818844028162,375 ML,,12.09,21.99,22
GRAN CORAMINO,Tequila,818844028179,1.75 LT,,63.99,72.99,2
CONTIGO PLATA,Tequila,833302006018,750 ML,Single,19.09,19.99,-2
TEREMANA BLANCO,Tequila,850015640001,375 ML,,16.09,21.99,6
TEREMANA REPOSADO,Tequila,850015640018,375 ML,,18.09,23.99,20
TEREMANA BLANCO,Tequila,850015640025,750 ML,,31.09,40.99,9
TEREMANA REPOSADO,Tequila,850015640032,750 ML,,33.09,43.99,12
TEREMANA ANEJO,Tequila,850015640124,750 ML,,39.09,39.99,1
PAPI BLANCO,Tequila,850061597144,375 ML,,11.83,15.99,11
PAPI REPOSADO,Tequila,850061597168,375 ML,,13.92,19.99,12
GARYS GOOD BLANCO TEQUILA,Tequila,850947003516,1 LT,,14,18.99,0
CASAMIGOS ANEJO,Tequila,856724006015,750 ML,,52.09,56.99,3
CASAMIGOS ANEJO,Tequila,856724006022,375 ML,,23.09,29.99,4
CASAMIGOS BLANCO,Tequila,856724006107,1 LT,,55.09,64.99,0
CASAMIGOS BLANCO,Tequila,856724006114,750 ML,,44.33,49.99,12
CASAMIGOS BLANCO,Tequila,856724006121,375 ML,,19.09,24.99,15
CASAMIGOS BLANCO,Tequila,856724006138,50 ML,,1.99,3.52,12
CASAMIGOS BLANCO,Tequila,856724006145,1.75 LT,,88.09,99.99,2
CASAMIGOS REPOSADO,Tequila,856724006206,1 LT,,59.09,69.99,2
CASAMIGOS REPOSADO,Tequila,856724006213,750 ML,,48.09,54.99,6
CASAMIGOS REPOSADO,Tequila,856724006220,375 ML,,21.09,27.99,29
CASAMIGOS REPOSADO,Tequila,856724006237,50 ML,,2.49,3.75,21
CASAMIGOS REPOSADO,Tequila,856724006244,1.75 LT,,96.09,109.99,3
LA GRITONA REPOSADO,Tequila,859026001221,750 ML,,34,42.99,36
LA GRITONA REPOSADO,Tequila,859026001405,375 ML,,22,27.99,9
MARGARRITAVILLE  375ML,Tequila,870290,375 ML,,7.99,8.99,0
MARGARRITAVILLE  200ML,Tequila,872000,200 ML,,4.29,4.3,0
CASAMIGOS JALAPENO,Tequila,88076186880,750 ML,,44.09,49.99,10
PAPI REPOSADO,Tequila,893828001676,750 ML,,25.83,33.99,5
PAPI BLANCO,Tequila,893828001737,750 ML,,22,29.99,6
OLD CARBINE RIFLE GOLD,Tequila,898298000914,1 LT,,81,99.99,1
VDKA 6100 VODKA,Vodka,736040535614,750 ML,Single,27.09,34.99,0
VESICA,Vodka,76841211073,750 ML,,14.09,14.99,0
GREY GOOSE,Vodka,80480280000,1.75 LT,,39.09,44.99,5
GREY GOOSE,Vodka,80480280024,750 ML,,25.09,29.99,2
GREY GOOSE,Vodka,80480280031,375 ML,,10.49,14.99,22
GREY GOOSE,Vodka,80480280048,200 ML,,8.79,11.99,0
ERISTOFF VODKA 375 ML,Vodka,80480296094,375 ML,,4,4.99,0
ERISTOFF VODKA 200 ML,Vodka,80480296100,200 ML,,2.8,2.99,0
GREY GOOSE ASSORTED,Vodka,80480986056,50 ML,,2.49,3.29,0
GREY GOOSE,Vodka,80480989347,50 ML,,1.77,2.35,78
DARK EYES VODKA 200 ML,Vodka,80686030706,200 ML,,1.49,2.1,0
DARK EYES VODKA,Vodka,80686030904,,,0.66,0.93,0
WOLFSCHMIDT 200ML,Vodka,80686045601,200 ML,,2.47,2.5,0
WOLFSCHMIDT 375ML,Vodka,80686045700,375 ML,,2.59,2.6,0
PUCKER CITRUS SQUEEZE 750 ML,Vodka,80686119135,750 ML,,9.09,9.49,0
PUCKER RASPBERRY RAVE 750 ML,Vodka,80686119197,750 ML,,9.09,9.49,0
TRULY STRAWBERRY LEMON,Vodka,80686896012,50 ML,,0.35,0.94,0
TRULY WILD BERRY,Vodka,80686896043,50 ML,,0.35,0.94,6
TRULY PINEAPPLE MANGO,Vodka,80686896074,50 ML,,0.35,0.94,0
PINNALCE ORANGE,Vodka,80686926344,1 LT,Single,8.99,9.99,0
PINNACLE WHIPPED CREAM VODKA 3,Vodka,80686926542,375 ML,,5.5,8,0
EFFEN VODKA,Vodka,80686938057,750 ML,,19.09,21.99,0
EFFEN BLACK CHERRY,Vodka,80686938095,50 ML,,0.66,0.93,0
EFFEN BLACK CHERRY,Vodka,80686938125,750 ML,,19.09,21.99,0
EFFEN BLACK CHERRY,Vodka,80686938385,1 LT,,14.09,19.99,0
EFFEN BLLOD ORANGE,Vodka,80686938507,1.75 LT,,37.09,39.99,0
VOX VODKA,Vodka,80686940463,750 ML,Single,21.09,23.99,0
GEORGI PEACH 200 ML,Vodka,80853225805,200 ML,,0.85,1.86,0
GEORGI RASPBERRY  375 ML,Vodka,80853226550,375 ML,,1.05,2.74,0
GEORGI POMEGRANATE  1.75 LITER,Vodka,80853227465,1.75 LT,,5,7.99,0
GEORGI POMEGRANATE 375 ML,Vodka,80853227496,200 ML,,1.05,2.74,0
GEORGI POMEGRANATE  200 ML,Vodka,80853227502,200 ML,,0.84,1.86,0
FINLANDIA RED BERY,Vodka,81128044893,750 ML,Single,19.09,27.99,0
SMIRNOFF VODKA,Vodka,82000000068,750 ML,,11.79,14.99,4
SMIRNOFF 100 PROOF 1LTR,Vodka,82000000099,1 LT,,20.99,21.99,0
SMIRNOFF 100 PROOF 1.75LITER,Vodka,82000105749,1.75 LT,,19.09,24.99,0
SMIRNOFF VODKA,Vodka,82000727606,1.75 LT,,19.29,23.99,2
SMIRNOFF VODKA STRAWBERRY,Vodka,82000729327,50 ML,,0.7,1.17,1
SMIRNOFF BLACK CHERRY,Vodka,82000731542,375 ML,,4.79,5.99,0
SMIRNOFF SORBET LIGHT MANGO,Vodka,82000761440,750 ML,Single,9,9.99,0
SMIRNOFF SORBET LIGHT LEMON,Vodka,82000761525,750 ML,Single,10,10.99,0
SHADY FRUIT GRAPEFRUIT,Vodka,82000773207,750 ML,,1.59,3.5,0
SHADY FRUIT ORANGE,Vodka,82000773221,750 ML,,1.59,3.5,0
SMIRNOFF SPICY TAMARIND,Vodka,82000783534,750 ML,,11.79,14.99,1
SMIRNOFF PINK LEMONADE,Vodka,82000797203,750 ML,,11.79,13.99,4
SMIRNOFF SPICY TAMARIND,Vodka,82000802167,1.75 LT,,19.29,23.99,1
SMIRNOFF BLUERASPBERRY,Vodka,82000802181,750 ML,,11.79,14.99,7
SMIRNOFF SPICY TAMARIND,Vodka,82000806165,375 ML,,4.99,7.51,0
SMIRNOFF RED WHITE BERRY,Vodka,8253202,50 ML,,0.7,1.17,114
CIROC SUMMER WATERMELON,Vodka,8264004,50 ML,,1.29,2.11,28
SMIRNOFF PINK LEMONADE,Vodka,8267807,50 ML,,0.7,0.94,0
CIROC SUMMER CITRUS,Vodka,8268204,50 ML,,1.29,2.11,30
CIROC PASSION,Vodka,8269407,50 ML,,1.29,2.11,75
CIROC LIMONATA,Vodka,8271402,50 ML,,1.29,2.11,33
SMIRNOFF GUAVA,Vodka,8273507,50 ML,,0.7,0.94,74
CHAMBORD FLAVORED VODKA 750ML,Vodka,83300000031,750 ML,,20.09,24.99,0
STOLI VANIL,Vodka,83664871926,750 ML,Single,19.09,21.99,0
STOLICHNAYA STICKI 50 ML,Vodka,83664872657,50 ML,,0.69,0.94,0
STOLI CHOCOLATE VODKA 50ML,Vodka,83664872930,50 ML,,0.69,0.94,0
FINLANDIA CRANBERRY VODKA 750,Vodka,83960137818,750 ML,,15.09,15.99,0
PRAVDA VODKA 750ML,Vodka,84380422041,750 ML,,8,14,0
LAIRDS VODKA,Vodka,84848501103,1.75 LT,,12.79,15.99,2
LAIRDS VODKA,Vodka,84848501202,1 LT,,7.49,10.99,9
LAIRDS VODKA,Vodka,84848501301,750 ML,,6.59,8.99,5
LAIRDS VODKA,Vodka,84848501509,200 ML,,1.86,2.58,2
LAIRDS VODKA,Vodka,84848501905,375 ML,,3.31,4.46,0
STERLING VODKA,Vodka,84848505316,750 ML,,5.7,5.99,0
STERLING VODKA,Vodka,84848505903,375 ML,Single,2.66,2.99,0
NEW AMSTERDAM PINEAPPLE,Vodka,85000002315,750 ML,,10.79,13.99,6
NEW AMSTERDAM VODKA,Vodka,85000019467,100 ML,,1.8,2.57,40
NEW AMSTERDAM VODKA,Vodka,85000019474,200 ML,,3.58,5.16,10
NEW AMSTERDAM VODKA,Vodka,85000019498,750 ML,,10.79,13.99,19
NEW AMSTERDAM VODKA,Vodka,85000019504,1 LT,,10.83,13.99,0
NEW AMSTERDAM BERRY,Vodka,85000020326,750 ML,,11.09,13.99,0
NEW AMSTERDAM PEACH,Vodka,85000020333,750 ML,,10.79,13.99,4
NEW AMSTERDAM BERRY,Vodka,85000020364,375 ML,,5.75,7.97,11
NEW AMSTERDAM BERRY,Vodka,85000020371,200 ML,,3.54,5.16,1
NEW AMSTERDAM PEACH,Vodka,85000020395,375 ML,,5.54,7.97,1
NEW AMSTERDAM PEACH,Vodka,85000020401,200 ML,,3.58,5.16,34
NEW AMSTERDAM PEACH,Vodka,85000020418,100 ML,,1.9,2.57,6
NEW AMSTERDAM COCONUT,Vodka,85000021347,200 ML,,3.79,5.16,6
NEW AMSTERDAM COCONUT,Vodka,85000021354,375 ML,,5.54,7.97,19
NEW AMSTERDAM COCONUT,Vodka,85000021361,750 ML,,10.79,13.99,0
NEW AMSTERDAM PEACH,Vodka,85000021644,1 LT,,10.83,13.99,0
NEW AMSTERDAM PEACH,Vodka,85000021651,1.75 LT,,19.29,22.99,4
NEW AMSTERDAM BERRY,Vodka,85000021668,1 LT,,10.83,15.99,0
NEW AMSTERDAM COCONUT,Vodka,85000021682,1 LT,,10.82,15.99,0
NEW AMSTERDAM PINEAPPLE,Vodka,85000022283,100 ML,,1.8,2.57,10
NEW AMSTERDAM PINEAPPLE,Vodka,85000022290,200 ML,,3.58,5.16,15
NEW AMSTERDAM PINEAPPLE,Vodka,85000022306,375 ML,,5.54,7.97,23
NEW AMSTERDAM PINEAPPLE,Vodka,85000022320,1 LT,,10.83,13.99,0
NEW AMSTERDAM PINEAPPLE,Vodka,85000022337,1.75 LT,,19.29,22.99,2
NEW AMSTERDAM MANGO,Vodka,85000023167,200 ML,,3.58,5.16,22
NEW AMSTERDAM MANGO,Vodka,85000023174,375 ML,,5.54,7.97,9
NEW AMSTERDAM MANGO,Vodka,85000023181,750 ML,,11.09,13.99,1
NEW AMSTERDAM MANGO,Vodka,85000023198,1 LT,,10.83,15.99,0
NEW AMSTERDAM GRAPEFRUIT,Vodka,85000023563,750 ML,,11.09,13.99,1
NEW AMSTERDAM GRAPEFRUIT,Vodka,85000023570,1 LT,,10.83,15.99,0
NEW AMSTERDAM GRAPEFRUIT,Vodka,85000024270,200 ML,,3.58,5.16,0
NEW AMSTERDAM GRAPEFRUIT,Vodka,85000024287,375 ML,,5.54,7.97,9
NEW AMSTERDAM VODKA 100P,Vodka,85000024300,375 ML,,6.29,8.44,14
NEW AMSTERDAM VODKA 100P,Vodka,85000024317,750 ML,,11.79,15.99,4
NEW AMSTERDAM APPLE,Vodka,85000024850,200 ML,,3.58,5.16,9
NEW AMSTERDAM APPLE,Vodka,85000024867,375 ML,,5.54,7.97,10
NEW AMSTERDAM APPLE,Vodka,85000024874,750 ML,,11.09,13.99,0
NEW AMSTERDAM APPLE,Vodka,85000025291,1 LT,,10.83,15.99,9
NEW AMSTERDAM RASPBERRY,Vodka,85000026137,200 ML,,3.54,5.16,1
NEW AMSTERDAM RASPBERRY,Vodka,85000026144,375 ML,,5.75,7.97,0
NEW AMSTERDAM PINK WHITNEY,Vodka,85000029626,750 ML,,10.79,13.99,9
NEW AMSTERDAM WATERMELON,Vodka,85000030004,200 ML,,3.58,5.16,6
NEW AMSTERDAM WATERMELON,Vodka,85000030912,375 ML,,5.54,7.97,6
NEW AMSTERDAM WATERMELON,Vodka,85000030929,750 ML,,10.79,13.99,0
NEW AMSTERDAM WATERMELON,Vodka,85000030943,1.75 LT,,19.29,22.99,4
NEW AMSTERDAM VODKA,Vodka,85000031810,375 ML,,5.54,7.97,3
NEW AMSTERDAM PINK WHITNEY,Vodka,85000032534,200 ML,,3.33,5.16,18
NEW AMSTERDAM PINK WHITNEY,Vodka,85000032541,375 ML,,5.54,7.97,3
NEW AMSTERDAM PASSION,Vodka,85000034170,200 ML,,3.58,5.16,13
NEW AMSTERDAM PASSION,Vodka,85000034187,375 ML,,5.54,7.97,28
NEW AMSTERDAM PASSION,Vodka,85000034194,750 ML,,10.79,13.99,7
NEW AMSTERDAM PASSION FRUIT,Vodka,85000034200,1.75 LT,,19.29,22.99,6
KETEL ONE VODKA,Vodka,85156122158,375 ML,,10.09,12.99,10
KETAL ONE ORANJE 375 ML,Vodka,85156437009,375 ML,,9.09,9.49,0
KETEL ONE ORANJE,Vodka,85156475001,750 ML,,9.99,11.99,0
KETEL ONE VODKA,Vodka,85156515417,750 ML,,18.99,23.99,4
KETEL ONE PEACH ORANGE,Vodka,85156675005,750 ML,,19.98,24.99,2
KETEL ONE GRAPEFRUIT ROSE,Vodka,85156710003,1 LT,,25,31.99,0
KETEL ONE GRAPEFRUIT ROSE,Vodka,85156775002,750 ML,,19.98,24.99,1
KETEL ONE VODKA,Vodka,85156803682,1.75 LT,,39,44.99,3
